id,nom,adresse,email,telephone
0,Opale Web,Boulogne-sur-Mer,contact@opaleweb.com, 06.27.34.29.03
1,Communauté de Communes Pays d'Opale,Guînes,morgan@ccpo.fr,03 21 00 83 33
2,Espace Learning Pro,Norrent-fontes,contact@elpformation.fr,03 21 26 52 83
3,DocPro SARL,Calais,contact@docpro.fr,03 21 85 00 00
4,Airspire,Le Portel,contact@airspire.fr,06 88 51 49 45
5,Atoucom,Calais,claradedrie@atoucom.fr,07 81 03 23 10
6,Opale CE,Calais,contact@opalece.fr,06 66 85 57 93
7,Cabinet Vincent-Velghe,Boulogne-sur-Mer,contact@kine.fr,03 21 80 42 52
8,Théâtre La Barcarolle,Saint-Omer,contact@labarcarolle.org,03 21 88 94 80
9,CCPO,Guînes,morgan@ccpo.com,03 21 00 83 33
10,Lycée Normandie Niemen ,Calais,contact@lyceeniemen.fr,03 21 19 59 79
